Concept	Définition
Cor	Instrument à vent et à embouchure. Consacre à la chasse dès son origine, le cor a été appelé depuis à de plus hautes destinées, et a passé des mains du chasseur dans celles des plus habiles exécutants. Celte voix rauque et sauvage, la terreur des hôtes des bois, s'est adoucie au point de nous ravir par des sons flatteurs. L'art des Punta, des Duvernoi, des Dauprat, des Gallay, lui donnant une nouvelle existence, l'a enrichi d'une multitude de tons que la nature semblait lui vouloir refuser. Brillant et sonore dans tout ce qui rappelle sa destination primitive, le cor est tendre et pathétique dans le cantabile. Un célèbre corniste, M. Vivier, a trouvé le secret de tirer du cor plusieurs sons simultanés. Le cor étant un tuyau sonore ouvert par les deux bouts, et privé des trous qui, dans le haut bois et la clarinette, servent à modifier les sons, c'est au moyen de la pression des lèvres sur l'embouchure et de l'introduction de la main dans le pavillon qu'on parvient à rendre des sons différents ; mais comme de cette manière on ne peut faire résonner que la tonique et les aliquotes, On se verrait réduit à demeurer constamment dans le même ton, si l'on n'avait recours à divers corps de rechange, qui, en s'adaptant à l'instrument, servent à élever ou à abaisser son intonation. Le cor s'écrit sur la clef de sol et sur la clef de fa, avec cette particularité, établie par l'usage, que la clef de sol est considérée comme étant plus grave d'une octave qu'elle ne l'est réellement. Tous les cors, à l'exception du cor en ut, sont des instruments transpositeurs ; c'est-à-dire que les notes écrites ne représentent pas les sons qne l'on obtient. Nous renvoyons aux ouvrages spéciaux pour l'explication développée de cette pratique, qui est, au reste, une convention commune à beaucoup d'instruments. (Voyez le mot TRANSPOSITEUR. ) Le cor a deux espèces de sons d'un caractère très-différent : les sons ouverts et les sons bouchés. Les premiers sont l'effet de la résonnance naturelle des divisions harmoniques du tube de l'instrument, et sortent sans autre secours que celui des lèvres et du souffle de l'exécutant , les seconds s'obtiennent en fermant plus au moins le pavillon du cor avec la main. Non-seulement les sons bouchés diffèrent entièrement des sons ouverts, ils diffèrent encore beaucoup entre eux. Ces différences résultent de l'ouverture plus ou moins grande laissée au pavillon par la main de l'instrumentiste. Pour certaines notes, le pavillon doit être bouché delà moitié, du tiers, du quart : pour d'autres, il faut le fermer presque entièrement. Plus l'orifice laissé au pavillon est étroit, plus le son est rauque, sourd, dificile à attaquer avec certitude et justesse. Le cor est un instrument noble et mélancolique. Aucun maître n'a su en tirer un parti plus original, plus poétique et plus complet que Weber. Dans ses trois chefs-d'oeuvre Oberon, Euryante et le Freischutz, il lui prête un langage aussi admirable que nouveau, et que Méhul et Beethoven seuls paraissent avoir compris avant lui. De tous les instruments de l'orchestre le cor est celui que Gluck écrivait le moins bien. Cependant il faut citer comme un éclair de génie les trois notes du cor imitant la conque de Caron, dans l'air d'Alceste, Caron t'appelle ! Ce sont des ut du médium, donnés à l'unisson par deux cors en ré; mais l'auteur ayant imaginé d'en faire aboucher les pavillons l'un contre l'autre, il en résulte que les deux instruments se servent mutuellement de sourdine et que les sons en s'entrechoquant prennent un accent lointain et un timbre caverneux de l'effet le plus étrange et le plus dramatique.
Cor anglais	Cet instrument tient, dans la famille du hautbois, la même place que la viole dans celle du violon. Le cor anglais a été inventé par Joseph Ferlendis, de Bergame, et il y a à peine soixante ans qu'il est en usage dans les orchestres. Le cor anglais a la forme du hautbois, dans des proportions plus fortes : il est un peu recourbé, et son pavillon se termine en boule au lieu d'être évasé comme celui du hautbois. Le cor anglais sonne une quinte plus bas que le hautbois, à cause de la longueur de son tube. Les sons du cor anglais propres à la tendresse, à la mélancolie, ne se font admettre dans l'orchestre que pour l'exécution de quelques solos.
Cor de basset	Cet instrument, qui unit à la douceur du son quelque chose de sérieux et de sombre, a été inventé, en 1770, à Passaw en Bavière. En 1782, M. Lotz, à Presbourg, a beaucoup contribué à son perfectionnement. Le cor de basset est de la nature de la clarinette, et n'en diffère qu'en ce qu'il est un peu plus grand, et en ce que sa forme est un peu recourbée ; mais il ressemble à la clarinette, non-seulement dans les parties constitutives et dans le son, mais encore dans ce qui regarde l'intonation, l'embouchure, le doigté, de façon que tout clarinettiste peut jouer de cet instrument sans difficulté.
Cor a pistons	L'inventeur du cor à pistons est due à Jean-Henri Stoelzel, qui était originaire de Scheilbemberg en Saxe, où il naquit en 1777. En 1806, il conçut l'idée de perfectionner les instruments de cuivre, en augmentant leur échelle diatonique et chromatique. Il fit entendre à Breslaw, en Silésie, un cor sur lequel il avait appliqué son nouveau système. Sa découverte ayant été goûtée, il la publia en 1814, et joua dans plusieurs concerts. Voici les bases sur lesquelles a été construit le cor à pistons. Ne rien changer au caractère du cor ordinaire, conserver les bonnes notes, rectifier la justesse de celles qui sont fausses, rendre l'éclat aux sourdes et remplir toutes les lacunes. Le cor à pistons fait toutes les notes ouvertes au moyen d'un mécanisme particulier dont l'action consiste à changer instantanément le ton du cor. Ainsi l'emploi de tel ou tel piston transforme le cor en fa, en un cor en mi, en mi bémol, etc. ; d'où il suit que les notes ouvertes de tous les tons se trouvant ajoutées les unes aux autres, on obtient toute la gamme chromatique en sons ouverts. De plus, les pistons ajoutent, au grave, six demi-tons à l'étendue du cor ordinaire. Il en est ainsi de tous les instruments en cuivre, trompettes, cornets, trombones, etc., auxquels le système des pistons a été appliqué. Le timbre du cor à pistons diffère un peu de celui du cor ordinaire et ne saurait le remplacer. Les Allemands appellent le cor à pistons cor chromatique.
Cor a cylindres	Le cor à cylindres ne diffère du précédent que par son mécanisme. Cette différence est toute à son avantage pour le timbre et l'agilité. Les sons de ce cor ne sont réellement pas différents des sons du cor ordinaire, et peut le remplacer avantageusement, au moins pour les sons ouverts.
Cor russe	Les Russes ont une musique de cor d'un effet étonnant. Vingt, trente, quarante musiciens ont chacun une espèce de cor ou de trompette, ou plus exactement un tube de métal, qui ne donne qu'une seule note. Ces cors sont accordés de telle manière qu'ils fournissent, comme les tuyanx de l'orgue, toutes les notes nécessaires pour exécuter un morceau de musique avec les accompagnements. Cette espèce d'orchestre rend un son plus fort, plus nourri que nos instruments à vent. Par un temps calme, on entend cette musique à une grande distance. Un habile orchestre russe peut exécuter des quatuors, des symphonies, des concertos, des fugues, et faire les traits et les trilles avec la plus grande netteté.
Cordaulolion	Ou harmonicorde, instrument qui avait la forme d'un piano vertical ; il était monté de cordes métalliques mises en vibration par le frottement d'un cylindre ou par une roue que l'exécutant 'faisait mouvoir avec les pieds.
Corde génératrice	C'est ainsi qu'on appelle une corde dont on fait entendre toutes les parties aliquotes, toutes les divisions harmoniques.
Corde ennemie	Quelques maîtres de chant italien nomment ainsi (Corda nemica) le premier son du registre de la voix de tête, à cause de la difficulté qu'on éprouve à l'atteindre, en y passant du registre de la voix de poitrine.
Corde sonore	Corde tendue qui sert à faire des expériences physiques et acoustiques, au moyen desquelles on explique la théorie du son.
Corde	Les cordes des instruments sont de diverses matières, selon la manière dont on doit exciter en elles le frémissement nécessaire pour produire le son et faire vibrer l'air dans les tables d'harmonie. — Les cordes attaquées par frottement sont faites avec les boyaux de certains animaux ; telles sont les cordes du violon, de la viole, de la basse. Les cordes frappées sont toujours de métal. On met des cordes de laiton aux octaves basses du piano ; celles d'acier servent pour les tons moyens, et les tons élevés. Les cordes pincées sont de boyau, de métal et de soie, selon l'instrument auquel on les destine. La harpe et la guitare sont montées avec des cordes de boyau et des cordes de soie ; la mandoline avec des cordes métalliques. La contexture d'une corde influe sur le son qu'elle doit produire. Une chanterelle de violon, recouverte dans toute sa longueur avec un fil de laiton très-délié, sert de quatrième corde au même instrument. Les cordes filées de la harpe et de la guitare sont de soie. On dit aussi : cette mélodie est écrite dans les bonnes cordes de la voix.
Cordes sonores	Si on tend convenablement deux cordes sur une table d'harmonie et que l'on en fasse varier leur longueur à l'aide d'un chevalet mobile, on reconnaît 1° que si deux cordes sont de même grosseur, de même matière, et tendues également, le nombre de leurs vibrations dans un temps donné sera en raison inverse de leur longueur. 2° Que toutes choses égales d'ailleurs, la rapidité de ces mêmes vibrations et par conséquent leur nombre, croît proportionnellement à la racine carrée des poids que l'on emploirait pour les tendre. 3° Enfin que ce nombre est réciproque au diamètre de ces cordes, lorsqu'elles ne diffèrent entre elles que sous ce rapport. Une propriété remarquable des cordes sonores est que si le chevalet qui divise une corde en deux parties inégales ayant un commun diviseur, la presse assez légèrement pour permettre aux vibrations imprimées à l'une des divisions de se transmettre à l'autre, alors, au lieu du son que devraient rendre l'une et l'autre portion on entend celui qui répond à la plus grande aliquote commune aux deux parties. En supposant que ces parties sont entre elles comme 3 : 2, elles devraient en résonnant simultament faire entendre la quinte ut, sol, ; or, le son produit est sol, parce que la plus grande partie se sous-divise en trois et la plus petite en deux; d'où résultent cinq sousdivisions qui ayant la même longueur se trouvent à l'unisson.
